(263.6, 1.0, 301.7) || Unit (2)
(261.2, 1.0, 300.7) || Unit (7)
(262.2, 1.0, 300.2) || Unit (14)
(266.4, 1.0, 298.5) || Unit (4)
(267.7, 1.0, 297.9) || Unit (6)
(265.4, 1.0, 297.5) || Unit (8)
(261.8, 1.0, 298.8) || Unit (12)
(263.9, 1.0, 300.4) || Unit (13)
(260.6, 1.0, 298.3) || Unit (9)
(266.5, 1.0, 301.4) || Unit (11)
(265.6, 1.0, 299.2) || Unit
(261.4, 1.0, 301.7) || Unit (3)
(266.3, 1.0, 300.2) || Unit (1)
(265.0, 1.0, 302.6) || Unit (5)
(265.1, 1.0, 301.4) || Unit (10)
======================
(263.6, 1.0, 301.7) || Unit (2)
(261.2, 1.0, 300.7) || Unit (7)
(262.2, 1.0, 300.2) || Unit (14)
(266.4, 1.0, 298.5) || Unit (4)
(267.7, 1.0, 297.9) || Unit (6)
(265.4, 1.0, 297.5) || Unit (8)
(261.8, 1.0, 298.8) || Unit (12)
(263.9, 1.0, 300.4) || Unit (13)
(260.6, 1.0, 298.3) || Unit (9)
(266.5, 1.0, 301.4) || Unit (11)
(265.6, 1.0, 299.2) || Unit
(261.4, 1.0, 301.7) || Unit (3)
(266.3, 1.0, 300.2) || Unit (1)
(265.0, 1.0, 302.6) || Unit (5)
(265.1, 1.0, 301.4) || Unit (10)
